Sequence Name,Name,Minimum,Maximum,Length,Repeat Unit
Pf3D7_01_v3,Mononucleotide Repeat,52859,52882,24,A
Pf3D7_01_v3,Mononucleotide Repeat,52892,52900,9,A
Pf3D7_01_v3,Mononucleotide Repeat,52908,52917,10,A
Pf3D7_01_v3,Mononucleotide Repeat,52948,52962,15,A
Pf3D7_01_v3,Mononucleotide Repeat,52972,52993,22,A
Pf3D7_01_v3,Mononucleotide Repeat,53003,53012,10,A
Pf3D7_01_v3,Mononucleotide Repeat,53060,53068,9,A
Pf3D7_01_v3,Mononucleotide Repeat,53113,53126,14,A
Pf3D7_01_v3,Mononucleotide Repeat,53327,53338,12,A
Pf3D7_01_v3,Mononucleotide Repeat,53579,53593,15,A
Pf3D7_01_v3,Mononucleotide Repeat,53644,53652,9,A
Pf3D7_01_v3,Mononucleotide Repeat,53666,53675,10,A
Pf3D7_01_v3,Mononucleotide Repeat,53819,53829,11,A
Pf3D7_01_v3,Mononucleotide Repeat,55217,55226,10,A
Pf3D7_01_v3,Mononucleotide Repeat,55635,55643,9,A
Pf3D7_01_v3,Mononucleotide Repeat,55823,55831,9,A
Pf3D7_01_v3,Mononucleotide Repeat,55834,55862,29,A
Pf3D7_01_v3,Mononucleotide Repeat,56122,56138,17,A
Pf3D7_01_v3,Mononucleotide Repeat,56180,56190,11,A
Pf3D7_01_v3,Mononucleotide Repeat,56253,56270,18,A
Pf3D7_01_v3,Mononucleotide Repeat,56379,56398,20,A
Pf3D7_01_v3,Mononucleotide Repeat,58484,58493,10,A
Pf3D7_01_v3,Mononucleotide Repeat,59539,59556,18,A
Pf3D7_01_v3,Mononucleotide Repeat,60952,60962,11,A
Pf3D7_01_v3,Mononucleotide Repeat,61754,61763,10,A
Pf3D7_01_v3,Mononucleotide Repeat,62109,62117,9,A
Pf3D7_01_v3,Mononucleotide Repeat,62228,62238,11,A
Pf3D7_01_v3,Mononucleotide Repeat,63600,63624,25,A
Pf3D7_01_v3,Mononucleotide Repeat,65344,65355,12,A
Pf3D7_01_v3,Mononucleotide Repeat,65400,65408,9,A
Pf3D7_01_v3,Mononucleotide Repeat,65590,65598,9,A
Pf3D7_01_v3,Mononucleotide Repeat,65734,65743,10,A
Pf3D7_01_v3,Mononucleotide Repeat,65858,65868,11,A
Pf3D7_01_v3,Mononucleotide Repeat,67192,67205,14,A
Pf3D7_01_v3,Mononucleotide Repeat,67230,67238,9,A
Pf3D7_01_v3,Mononucleotide Repeat,67402,67410,9,A
Pf3D7_01_v3,Mononucleotide Repeat,67599,67609,11,A
Pf3D7_01_v3,Mononucleotide Repeat,67656,67669,14,A
Pf3D7_01_v3,Mononucleotide Repeat,68209,68217,9,A
Pf3D7_01_v3,Mononucleotide Repeat,68467,68480,14,A
Pf3D7_01_v3,Mononucleotide Repeat,68874,68883,10,A
Pf3D7_01_v3,Mononucleotide Repeat,69124,69133,10,A
Pf3D7_01_v3,Mononucleotide Repeat,69216,69227,12,A
Pf3D7_01_v3,Mononucleotide Repeat,69244,69252,9,A
Pf3D7_01_v3,Mononucleotide Repeat,69944,69960,17,A
Pf3D7_01_v3,Mononucleotide Repeat,70225,70235,11,A
Pf3D7_01_v3,Mononucleotide Repeat,70323,70346,24,A
Pf3D7_01_v3,Mononucleotide Repeat,70599,70637,39,A
Pf3D7_01_v3,Mononucleotide Repeat,70762,70771,10,A
Pf3D7_01_v3,Mononucleotide Repeat,70796,70804,9,A
Pf3D7_01_v3,Mononucleotide Repeat,71129,71148,20,A
Pf3D7_01_v3,Mononucleotide Repeat,71208,71221,14,A
Pf3D7_01_v3,Mononucleotide Repeat,72603,72615,13,A
Pf3D7_01_v3,Mononucleotide Repeat,72749,72759,11,A
Pf3D7_01_v3,Mononucleotide Repeat,72914,72922,9,A
Pf3D7_01_v3,Mononucleotide Repeat,73857,73867,11,A
Pf3D7_01_v3,Mononucleotide Repeat,74171,74180,10,A
Pf3D7_01_v3,Mononucleotide Repeat,74189,74199,11,A
Pf3D7_01_v3,Mononucleotide Repeat,74201,74212,12,A
Pf3D7_01_v3,Mononucleotide Repeat,74221,74231,11,A
Pf3D7_01_v3,Mononucleotide Repeat,74233,74244,12,A
Pf3D7_01_v3,Mononucleotide Repeat,74253,74276,24,A
Pf3D7_01_v3,Mononucleotide Repeat,74288,74304,17,A
Pf3D7_01_v3,Mononucleotide Repeat,74425,74436,12,A
Pf3D7_01_v3,Mononucleotide Repeat,74875,74885,11,A
Pf3D7_01_v3,Mononucleotide Repeat,75486,75494,9,A
Pf3D7_01_v3,Mononucleotide Repeat,75533,75547,15,A
Pf3D7_01_v3,Mononucleotide Repeat,75674,75686,13,A
Pf3D7_01_v3,Mononucleotide Repeat,75727,75736,10,A
Pf3D7_01_v3,Mononucleotide Repeat,77037,77049,13,A
Pf3D7_01_v3,Mononucleotide Repeat,77318,77327,10,A
Pf3D7_01_v3,Mononucleotide Repeat,77519,77534,16,A
Pf3D7_01_v3,Mononucleotide Repeat,77718,77726,9,A
Pf3D7_01_v3,Mononucleotide Repeat,77877,77891,15,A
Pf3D7_01_v3,Mononucleotide Repeat,77963,77974,12,A
Pf3D7_01_v3,Mononucleotide Repeat,79914,79932,19,A
Pf3D7_01_v3,Mononucleotide Repeat,80069,80084,16,A
Pf3D7_01_v3,Mononucleotide Repeat,80405,80423,19,A
Pf3D7_01_v3,Mononucleotide Repeat,80454,80462,9,A
Pf3D7_01_v3,Mononucleotide Repeat,80490,80510,21,A
Pf3D7_01_v3,Mononucleotide Repeat,80559,80581,23,A
Pf3D7_01_v3,Mononucleotide Repeat,80624,80648,25,A
Pf3D7_01_v3,Mononucleotide Repeat,80716,80731,16,A
Pf3D7_01_v3,Mononucleotide Repeat,80812,80820,9,A
Pf3D7_01_v3,Mononucleotide Repeat,81674,81689,16,A
Pf3D7_01_v3,Mononucleotide Repeat,81795,81803,9,A
Pf3D7_01_v3,Mononucleotide Repeat,81806,81816,11,A
Pf3D7_01_v3,Mononucleotide Repeat,83278,83288,11,A
Pf3D7_01_v3,Mononucleotide Repeat,83323,83331,9,A
Pf3D7_01_v3,Mononucleotide Repeat,83390,83407,18,A
Pf3D7_01_v3,Mononucleotide Repeat,86127,86143,17,A
Pf3D7_01_v3,Mononucleotide Repeat,86385,86396,12,A
Pf3D7_01_v3,Mononucleotide Repeat,88006,88016,11,A
Pf3D7_01_v3,Mononucleotide Repeat,88374,88384,11,A
Pf3D7_01_v3,Mononucleotide Repeat,88410,88418,9,A
Pf3D7_01_v3,Mononucleotide Repeat,88450,88459,10,A
Pf3D7_01_v3,Mononucleotide Repeat,89665,89674,10,A
Pf3D7_01_v3,Mononucleotide Repeat,90066,90074,9,A
Pf3D7_01_v3,Mononucleotide Repeat,91776,91790,15,A
Pf3D7_01_v3,Mononucleotide Repeat,92012,92021,10,A
Pf3D7_01_v3,Mononucleotide Repeat,92075,92088,14,A
Pf3D7_01_v3,Mononucleotide Repeat,92159,92167,9,A
Pf3D7_01_v3,Mononucleotide Repeat,92259,92267,9,A
Pf3D7_01_v3,Mononucleotide Repeat,92271,92289,19,A
Pf3D7_01_v3,Mononucleotide Repeat,92684,92694,11,A
Pf3D7_01_v3,Mononucleotide Repeat,92703,92719,17,A
Pf3D7_01_v3,Mononucleotide Repeat,94506,94514,9,A
Pf3D7_01_v3,Mononucleotide Repeat,96010,96019,10,A
Pf3D7_01_v3,Mononucleotide Repeat,96047,96067,21,A
Pf3D7_01_v3,Mononucleotide Repeat,96317,96339,23,A
Pf3D7_01_v3,Mononucleotide Repeat,96419,96436,18,A
Pf3D7_01_v3,Mononucleotide Repeat,96988,97001,14,A
Pf3D7_01_v3,Mononucleotide Repeat,97040,97059,20,A
Pf3D7_01_v3,Mononucleotide Repeat,97573,97581,9,A
Pf3D7_01_v3,Mononucleotide Repeat,97692,97701,10,A
Pf3D7_01_v3,Mononucleotide Repeat,98087,98099,13,A
Pf3D7_01_v3,Mononucleotide Repeat,98244,98255,12,A
Pf3D7_01_v3,Mononucleotide Repeat,98327,98336,10,A
Pf3D7_01_v3,Mononucleotide Repeat,98354,98363,10,A
Pf3D7_01_v3,Mononucleotide Repeat,98379,98387,9,A
Pf3D7_01_v3,Mononucleotide Repeat,98419,98442,24,A
Pf3D7_01_v3,Mononucleotide Repeat,98471,98480,10,A
Pf3D7_01_v3,Mononucleotide Repeat,98500,98516,17,A
Pf3D7_01_v3,Mononucleotide Repeat,98572,98588,17,A
Pf3D7_01_v3,Mononucleotide Repeat,98662,98672,11,A
Pf3D7_01_v3,Mononucleotide Repeat,98677,98685,9,A
Pf3D7_01_v3,Mononucleotide Repeat,98737,98758,22,A
Pf3D7_01_v3,Mononucleotide Repeat,99019,99041,23,A
Pf3D7_01_v3,Mononucleotide Repeat,99188,99214,27,A
Pf3D7_01_v3,Mononucleotide Repeat,102281,102289,9,A
Pf3D7_01_v3,Mononucleotide Repeat,102398,102427,30,A
Pf3D7_01_v3,Mononucleotide Repeat,102635,102651,17,A
Pf3D7_01_v3,Mononucleotide Repeat,102745,102755,11,A
Pf3D7_01_v3,Mononucleotide Repeat,103246,103261,16,A
Pf3D7_01_v3,Mononucleotide Repeat,103380,103388,9,A
Pf3D7_01_v3,Mononucleotide Repeat,103441,103449,9,A
Pf3D7_01_v3,Mononucleotide Repeat,103564,103574,11,A
Pf3D7_01_v3,Mononucleotide Repeat,103575,103586,12,A
Pf3D7_01_v3,Mononucleotide Repeat,103633,103649,17,A
Pf3D7_01_v3,Mononucleotide Repeat,104034,104057,24,A
Pf3D7_01_v3,Mononucleotide Repeat,104106,104117,12,A
Pf3D7_01_v3,Mononucleotide Repeat,104276,104284,9,A
Pf3D7_01_v3,Mononucleotide Repeat,104870,104889,20,A
Pf3D7_01_v3,Mononucleotide Repeat,104912,104920,9,A
Pf3D7_01_v3,Mononucleotide Repeat,105825,105835,11,A
Pf3D7_01_v3,Mononucleotide Repeat,105891,105906,16,A
Pf3D7_01_v3,Mononucleotide Repeat,106620,106630,11,A
Pf3D7_01_v3,Mononucleotide Repeat,106635,106648,14,A
Pf3D7_01_v3,Mononucleotide Repeat,107034,107057,24,A
Pf3D7_01_v3,Mononucleotide Repeat,108404,108412,9,A
Pf3D7_01_v3,Mononucleotide Repeat,108453,108481,29,A
Pf3D7_01_v3,Mononucleotide Repeat,108808,108819,12,A
Pf3D7_01_v3,Mononucleotide Repeat,108944,108960,17,A
Pf3D7_01_v3,Mononucleotide Repeat,108997,109015,19,A
Pf3D7_01_v3,Mononucleotide Repeat,109025,109034,10,A
Pf3D7_01_v3,Mononucleotide Repeat,109175,109195,21,A
Pf3D7_01_v3,Mononucleotide Repeat,109745,109756,12,A
Pf3D7_01_v3,Mononucleotide Repeat,109769,109797,29,A
Pf3D7_01_v3,Mononucleotide Repeat,110125,110134,10,A
Pf3D7_01_v3,Mononucleotide Repeat,110339,110349,11,A
Pf3D7_01_v3,Mononucleotide Repeat,110448,110456,9,A
Pf3D7_01_v3,Mononucleotide Repeat,110587,110600,14,A
Pf3D7_01_v3,Mononucleotide Repeat,110603,110611,9,A
Pf3D7_01_v3,Mononucleotide Repeat,110622,110630,9,A
Pf3D7_01_v3,Mononucleotide Repeat,110829,110839,11,A
Pf3D7_01_v3,Mononucleotide Repeat,110926,110940,15,A
Pf3D7_01_v3,Mononucleotide Repeat,111251,111259,9,A
Pf3D7_01_v3,Mononucleotide Repeat,113157,113166,10,A
Pf3D7_01_v3,Mononucleotide Repeat,113181,113190,10,A
Pf3D7_01_v3,Mononucleotide Repeat,115859,115872,14,A
Pf3D7_01_v3,Mononucleotide Repeat,115989,115999,11,A
Pf3D7_01_v3,Mononucleotide Repeat,116132,116140,9,A
Pf3D7_01_v3,Mononucleotide Repeat,116188,116199,12,A
Pf3D7_01_v3,Mononucleotide Repeat,116858,116888,31,A
Pf3D7_01_v3,Mononucleotide Repeat,116948,116963,16,A
Pf3D7_01_v3,Mononucleotide Repeat,117028,117042,15,A
Pf3D7_01_v3,Mononucleotide Repeat,117360,117371,12,A
Pf3D7_01_v3,Mononucleotide Repeat,117481,117491,11,A
Pf3D7_01_v3,Mononucleotide Repeat,117706,117725,20,A
Pf3D7_01_v3,Mononucleotide Repeat,117869,117877,9,A
Pf3D7_01_v3,Mononucleotide Repeat,118188,118202,15,A
Pf3D7_01_v3,Mononucleotide Repeat,118770,118797,28,A
Pf3D7_01_v3,Mononucleotide Repeat,119126,119134,9,A
Pf3D7_01_v3,Mononucleotide Repeat,120989,121029,41,A
Pf3D7_01_v3,Mononucleotide Repeat,121106,121114,9,A
Pf3D7_01_v3,Mononucleotide Repeat,121221,121233,13,A
Pf3D7_01_v3,Mononucleotide Repeat,121257,121267,11,A
Pf3D7_01_v3,Mononucleotide Repeat,121844,121852,9,A
Pf3D7_01_v3,Mononucleotide Repeat,122026,122037,12,A
Pf3D7_01_v3,Mononucleotide Repeat,122094,122105,12,A
Pf3D7_01_v3,Mononucleotide Repeat,122136,122145,10,A
Pf3D7_01_v3,Mononucleotide Repeat,122301,122311,11,A
Pf3D7_01_v3,Mononucleotide Repeat,122485,122495,11,A
Pf3D7_01_v3,Mononucleotide Repeat,122797,122808,12,A
Pf3D7_01_v3,Mononucleotide Repeat,122882,122891,10,A
Pf3D7_01_v3,Mononucleotide Repeat,123224,123243,20,A
Pf3D7_01_v3,Mononucleotide Repeat,123277,123312,36,A
Pf3D7_01_v3,Mononucleotide Repeat,123621,123643,23,A
Pf3D7_01_v3,Mononucleotide Repeat,123646,123657,12,A
Pf3D7_01_v3,Mononucleotide Repeat,123776,123784,9,A
Pf3D7_01_v3,Mononucleotide Repeat,123786,123794,9,A
Pf3D7_01_v3,Mononucleotide Repeat,123796,123804,9,A
Pf3D7_01_v3,Mononucleotide Repeat,123872,123880,9,A
Pf3D7_01_v3,Mononucleotide Repeat,123960,123968,9,A
Pf3D7_01_v3,Mononucleotide Repeat,124014,124032,19,A
Pf3D7_01_v3,Mononucleotide Repeat,124048,124068,21,A
Pf3D7_01_v3,Mononucleotide Repeat,124087,124109,23,A
Pf3D7_01_v3,Mononucleotide Repeat,124380,124405,26,A
Pf3D7_01_v3,Mononucleotide Repeat,124685,124693,9,A
Pf3D7_01_v3,Mononucleotide Repeat,125488,125511,24,A
Pf3D7_01_v3,Mononucleotide Repeat,126184,126200,17,A
Pf3D7_01_v3,Mononucleotide Repeat,126292,126303,12,A
Pf3D7_01_v3,Mononucleotide Repeat,126846,126854,9,A
Pf3D7_01_v3,Mononucleotide Repeat,127810,127820,11,A
Pf3D7_01_v3,Mononucleotide Repeat,128285,128293,9,A
Pf3D7_01_v3,Mononucleotide Repeat,128412,128431,20,A
Pf3D7_01_v3,Mononucleotide Repeat,128806,128826,21,A
Pf3D7_01_v3,Mononucleotide Repeat,128931,128943,13,A
Pf3D7_01_v3,Mononucleotide Repeat,131085,131099,15,A
Pf3D7_01_v3,Mononucleotide Repeat,131673,131684,12,A
Pf3D7_01_v3,Mononucleotide Repeat,132001,132012,12,A
Pf3D7_01_v3,Mononucleotide Repeat,132075,132085,11,A
Pf3D7_01_v3,Mononucleotide Repeat,132672,132684,13,A
Pf3D7_01_v3,Mononucleotide Repeat,133193,133215,23,A
Pf3D7_01_v3,Mononucleotide Repeat,133704,133719,16,A
Pf3D7_01_v3,Mononucleotide Repeat,133790,133798,9,A
Pf3D7_01_v3,Mononucleotide Repeat,133997,134006,10,A
Pf3D7_01_v3,Mononucleotide Repeat,134105,134113,9,A
Pf3D7_01_v3,Mononucleotide Repeat,134129,134151,23,A
Pf3D7_01_v3,Mononucleotide Repeat,134155,134167,13,A
Pf3D7_01_v3,Mononucleotide Repeat,134187,134195,9,A
Pf3D7_01_v3,Mononucleotide Repeat,137792,137800,9,A
Pf3D7_01_v3,Mononucleotide Repeat,137974,137986,13,A
Pf3D7_01_v3,Mononucleotide Repeat,138386,138394,9,A
Pf3D7_01_v3,Mononucleotide Repeat,139269,139279,11,A
Pf3D7_01_v3,Mononucleotide Repeat,139281,139297,17,A
Pf3D7_01_v3,Mononucleotide Repeat,139448,139469,22,A
Pf3D7_01_v3,Mononucleotide Repeat,139489,139502,14,A
Pf3D7_01_v3,Mononucleotide Repeat,139668,139678,11,A
Pf3D7_01_v3,Mononucleotide Repeat,140100,140112,13,A
Pf3D7_01_v3,Mononucleotide Repeat,140362,140376,15,A
Pf3D7_01_v3,Mononucleotide Repeat,140378,140398,21,A
Pf3D7_01_v3,Mononucleotide Repeat,140485,140500,16,A
Pf3D7_01_v3,Mononucleotide Repeat,140519,140532,14,A
Pf3D7_01_v3,Mononucleotide Repeat,140551,140564,14,A
Pf3D7_01_v3,Mononucleotide Repeat,140566,140577,12,A
Pf3D7_01_v3,Mononucleotide Repeat,141319,141333,15,A
Pf3D7_01_v3,Mononucleotide Repeat,141782,141790,9,A
Pf3D7_01_v3,Mononucleotide Repeat,142172,142180,9,A
Pf3D7_01_v3,Mononucleotide Repeat,142648,142657,10,A
Pf3D7_01_v3,Mononucleotide Repeat,142956,142967,12,A
Pf3D7_01_v3,Mononucleotide Repeat,143068,143079,12,A
Pf3D7_01_v3,Mononucleotide Repeat,143295,143310,16,A
Pf3D7_01_v3,Mononucleotide Repeat,143367,143392,26,A
Pf3D7_01_v3,Mononucleotide Repeat,146525,146537,13,A
Pf3D7_01_v3,Mononucleotide Repeat,146832,146851,20,A
Pf3D7_01_v3,Mononucleotide Repeat,147348,147357,10,A
Pf3D7_01_v3,Mononucleotide Repeat,147634,147645,12,A
Pf3D7_01_v3,Mononucleotide Repeat,147806,147847,42,A
Pf3D7_01_v3,Mononucleotide Repeat,148236,148248,13,A
Pf3D7_01_v3,Mononucleotide Repeat,149627,149655,29,A
Pf3D7_01_v3,Mononucleotide Repeat,149952,149962,11,A
Pf3D7_01_v3,Mononucleotide Repeat,150685,150693,9,A
Pf3D7_01_v3,Mononucleotide Repeat,150820,150828,9,A
Pf3D7_01_v3,Mononucleotide Repeat,152788,152824,37,A
Pf3D7_01_v3,Mononucleotide Repeat,152888,152900,13,A
Pf3D7_01_v3,Mononucleotide Repeat,153061,153069,9,A
Pf3D7_01_v3,Mononucleotide Repeat,153479,153498,20,A
Pf3D7_01_v3,Mononucleotide Repeat,153508,153527,20,A
Pf3D7_01_v3,Mononucleotide Repeat,153537,153556,20,A
Pf3D7_01_v3,Mononucleotide Repeat,153566,153586,21,A
Pf3D7_01_v3,Mononucleotide Repeat,154016,154029,14,A
Pf3D7_01_v3,Mononucleotide Repeat,154052,154070,19,A
Pf3D7_01_v3,Mononucleotide Repeat,154131,154139,9,A
Pf3D7_01_v3,Mononucleotide Repeat,156527,156537,11,A
Pf3D7_01_v3,Mononucleotide Repeat,157494,157502,9,A
Pf3D7_01_v3,Mononucleotide Repeat,158590,158598,9,A
Pf3D7_01_v3,Mononucleotide Repeat,158813,158822,10,A
Pf3D7_01_v3,Mononucleotide Repeat,159037,159054,18,A
Pf3D7_01_v3,Mononucleotide Repeat,159725,159752,28,A
Pf3D7_01_v3,Mononucleotide Repeat,160714,160722,9,A
Pf3D7_01_v3,Mononucleotide Repeat,160728,160738,11,A
Pf3D7_01_v3,Mononucleotide Repeat,160740,160749,10,A
Pf3D7_01_v3,Mononucleotide Repeat,160951,160975,25,A
Pf3D7_01_v3,Mononucleotide Repeat,161410,161419,10,A
Pf3D7_01_v3,Mononucleotide Repeat,161610,161618,9,A
Pf3D7_01_v3,Mononucleotide Repeat,161620,161635,16,A
Pf3D7_01_v3,Mononucleotide Repeat,161900,161923,24,A
Pf3D7_01_v3,Mononucleotide Repeat,162761,162770,10,A
Pf3D7_01_v3,Mononucleotide Repeat,162773,162784,12,A
Pf3D7_01_v3,Mononucleotide Repeat,162905,162914,10,A
Pf3D7_01_v3,Mononucleotide Repeat,163808,163818,11,A
Pf3D7_01_v3,Mononucleotide Repeat,163862,163875,14,A
Pf3D7_01_v3,Mononucleotide Repeat,164133,164147,15,A
Pf3D7_01_v3,Mononucleotide Repeat,164441,164449,9,A
Pf3D7_01_v3,Mononucleotide Repeat,164496,164504,9,A
Pf3D7_01_v3,Mononucleotide Repeat,164624,164635,12,A
Pf3D7_01_v3,Mononucleotide Repeat,164859,164871,13,A
Pf3D7_01_v3,Mononucleotide Repeat,165398,165422,25,A
Pf3D7_01_v3,Mononucleotide Repeat,165814,165834,21,A
Pf3D7_01_v3,Mononucleotide Repeat,166108,166116,9,A
Pf3D7_01_v3,Mononucleotide Repeat,166354,166366,13,A
Pf3D7_01_v3,Mononucleotide Repeat,166369,166384,16,A
Pf3D7_01_v3,Mononucleotide Repeat,166410,166422,13,A
Pf3D7_01_v3,Mononucleotide Repeat,166474,166501,28,A
Pf3D7_01_v3,Mononucleotide Repeat,166670,166678,9,A
Pf3D7_01_v3,Mononucleotide Repeat,166922,166934,13,A
Pf3D7_01_v3,Mononucleotide Repeat,166996,167008,13,A
Pf3D7_01_v3,Mononucleotide Repeat,168000,168008,9,A
Pf3D7_01_v3,Mononucleotide Repeat,168049,168076,28,A
Pf3D7_01_v3,Mononucleotide Repeat,168553,168562,10,A
Pf3D7_01_v3,Mononucleotide Repeat,168798,168811,14,A
Pf3D7_01_v3,Mononucleotide Repeat,169805,169818,14,A
Pf3D7_01_v3,Mononucleotide Repeat,170293,170306,14,A
Pf3D7_01_v3,Mononucleotide Repeat,170858,170891,34,A
Pf3D7_01_v3,Mononucleotide Repeat,171448,171471,24,A
Pf3D7_01_v3,Mononucleotide Repeat,171521,171537,17,A
Pf3D7_01_v3,Mononucleotide Repeat,171620,171640,21,A
Pf3D7_01_v3,Mononucleotide Repeat,171751,171761,11,A
Pf3D7_01_v3,Mononucleotide Repeat,171763,171773,11,A
Pf3D7_01_v3,Mononucleotide Repeat,171792,171800,9,A
Pf3D7_01_v3,Mononucleotide Repeat,172015,172025,11,A
Pf3D7_01_v3,Mononucleotide Repeat,172121,172137,17,A
Pf3D7_01_v3,Mononucleotide Repeat,172409,172450,42,A
Pf3D7_01_v3,Mononucleotide Repeat,172567,172575,9,A
Pf3D7_01_v3,Mononucleotide Repeat,174590,174620,31,A
Pf3D7_01_v3,Mononucleotide Repeat,174943,174959,17,A
Pf3D7_01_v3,Mononucleotide Repeat,175030,175039,10,A
Pf3D7_01_v3,Mononucleotide Repeat,175252,175263,12,A
Pf3D7_01_v3,Mononucleotide Repeat,175469,175482,14,A
Pf3D7_01_v3,Mononucleotide Repeat,175698,175733,36,A
Pf3D7_01_v3,Mononucleotide Repeat,175973,175990,18,A
Pf3D7_01_v3,Mononucleotide Repeat,176359,176368,10,A
Pf3D7_01_v3,Mononucleotide Repeat,176541,176551,11,A
Pf3D7_01_v3,Mononucleotide Repeat,176703,176730,28,A
Pf3D7_01_v3,Mononucleotide Repeat,176931,176957,27,A
Pf3D7_01_v3,Mononucleotide Repeat,177171,177188,18,A
Pf3D7_01_v3,Mononucleotide Repeat,177386,177394,9,A
Pf3D7_01_v3,Mononucleotide Repeat,177460,177473,14,A
Pf3D7_01_v3,Mononucleotide Repeat,177513,177521,9,A
Pf3D7_01_v3,Mononucleotide Repeat,177587,177600,14,A
Pf3D7_01_v3,Mononucleotide Repeat,177744,177759,16,A
